project_id,timestamp,house_no,raw_p_h,raw_p_h_pv,raw_e_h_im,raw_e_h_ex,flag
SGtechMicrogrid,2023-01-01 00:00:00,h2,2.3353333333333333,0.0,1213017.29,0.0,0.0
SGtechMicrogrid,2023-01-01 00:15:00,h2,2.3973333333333335,0.0,1213026.28,0.0,0.0
SGtechMicrogrid,2023-01-01 00:30:00,h2,2.271333333333333,0.0,1213034.97,0.0,0.0
SGtechMicrogrid,2023-01-01 00:45:00,h2,2.3146666666666667,0.0,1213043.55,0.0,0.0
SGtechMicrogrid,2023-01-01 01:00:00,h2,2.246666666666667,0.0,1213052.1199999999,0.0,0.0
SGtechMicrogrid,2023-01-01 01:15:00,h2,2.336666666666667,0.0,1213060.75,0.0,0.0
SGtechMicrogrid,2023-01-01 01:30:00,h2,2.2873333333333337,0.0,1213069.49,0.0,0.0
SGtechMicrogrid,2023-01-01 01:45:00,h2,2.2353333333333336,0.0,1213077.92,0.0,0.0
SGtechMicrogrid,2023-01-01 02:00:00,h2,2.3006666666666664,0.0,1213086.45,0.0,0.0
SGtechMicrogrid,2023-01-01 02:15:00,h2,2.388,0.0,1213095.32,0.0,0.0
SGtechMicrogrid,2023-01-01 02:30:00,h2,2.2993333333333337,0.0,1213103.99,0.0,0.0
SGtechMicrogrid,2023-01-01 02:45:00,h2,2.3573333333333335,0.0,1213112.8,0.0,0.0
SGtechMicrogrid,2023-01-01 03:00:00,h2,2.3553333333333333,0.0,1213121.58,0.0,0.0
SGtechMicrogrid,2023-01-01 03:15:00,h2,2.4153333333333333,0.0,1213130.69,0.0,0.0
SGtechMicrogrid,2023-01-01 03:30:00,h2,2.2306666666666666,0.0,1213139.28,0.0,0.0
SGtechMicrogrid,2023-01-01 03:45:00,h2,2.334,0.0,1213147.8599999999,0.0,0.0
SGtechMicrogrid,2023-01-01 04:00:00,h2,2.2786666666666666,0.0,1213156.56,0.0,0.0
SGtechMicrogrid,2023-01-01 04:15:00,h2,2.362,0.0,1213165.22,0.0,0.0
SGtechMicrogrid,2023-01-01 04:30:00,h2,2.279333333333333,0.0,1213173.8900000001,0.0,0.0
SGtechMicrogrid,2023-01-01 04:45:00,h2,2.255333333333333,0.0,1213182.38,0.0,0.0
SGtechMicrogrid,2023-01-01 05:00:00,h2,2.2939999999999996,0.0,1213190.9,0.0,0.0
SGtechMicrogrid,2023-01-01 05:15:00,h2,2.356,0.0,1213199.66,0.0,0.0
SGtechMicrogrid,2023-01-01 05:30:00,h2,2.3213333333333335,0.0,1213208.33,0.0,0.0
SGtechMicrogrid,2023-01-01 05:45:00,h2,2.214,0.0,1213216.96,0.0,0.0
SGtechMicrogrid,2023-01-01 06:00:00,h2,1.9966666666666666,0.0,1213224.68,0.0,0.0
SGtechMicrogrid,2023-01-01 06:15:00,h2,2.122,0.0,1213232.53,0.0,0.0
SGtechMicrogrid,2023-01-01 06:30:00,h2,1.87,0.0,1213240.0,0.0,0.0
SGtechMicrogrid,2023-01-01 06:45:00,h2,1.8626666666666667,0.0,1213246.94,0.0,0.0
SGtechMicrogrid,2023-01-01 07:00:00,h2,1.8913333333333333,0.0,1213253.99,0.0,0.0
SGtechMicrogrid,2023-01-01 07:15:00,h2,2.002666666666667,0.0,1213261.38,0.0,0.0
SGtechMicrogrid,2023-01-01 07:30:00,h2,1.9520000000000002,0.0,1213268.7,0.0,0.0
SGtechMicrogrid,2023-01-01 07:45:00,h2,1.9053333333333333,0.0,1213275.88,0.0,0.0
SGtechMicrogrid,2023-01-01 08:00:00,h2,2.0366666666666666,0.0,1213283.24,0.0,0.0
SGtechMicrogrid,2023-01-01 08:15:00,h2,1.9453333333333334,0.0,1213290.83,0.0,0.0
SGtechMicrogrid,2023-01-01 08:30:00,h2,1.8986666666666667,0.0,1213297.91,0.0,0.0
SGtechMicrogrid,2023-01-01 08:45:00,h2,1.9673333333333332,0.0,1213305.19,0.0,0.0
SGtechMicrogrid,2023-01-01 09:00:00,h2,2.0206666666666666,0.0,1213312.49,0.0,0.0
SGtechMicrogrid,2023-01-01 09:15:00,h2,1.994,0.0,1213320.16,0.0,0.0
SGtechMicrogrid,2023-01-01 09:30:00,h2,1.9213333333333333,0.0,1213327.53,0.0,0.0
SGtechMicrogrid,2023-01-01 09:45:00,h2,1.8406666666666667,0.0,1213334.51,0.0,0.0
SGtechMicrogrid,2023-01-01 10:00:00,h2,1.8513333333333333,0.0,1213341.41,0.0,0.0
SGtechMicrogrid,2023-01-01 10:15:00,h2,1.822,0.0,1213348.3800000001,0.0,0.0
SGtechMicrogrid,2023-01-01 10:30:00,h2,1.8626666666666667,0.0,1213355.31,0.0,0.0
SGtechMicrogrid,2023-01-01 10:45:00,h2,1.804,0.0,1213362.18,0.0,0.0
SGtechMicrogrid,2023-01-01 11:00:00,h2,1.9520000000000002,0.0,1213369.08,0.0,0.0
SGtechMicrogrid,2023-01-01 11:15:00,h2,1.8633333333333333,0.0,1213376.39,0.0,0.0
SGtechMicrogrid,2023-01-01 11:30:00,h2,1.8393333333333333,0.0,1213383.24,0.0,0.0
SGtechMicrogrid,2023-01-01 11:45:00,h2,1.8993333333333333,0.0,1213390.31,0.0,0.0
SGtechMicrogrid,2023-01-01 12:00:00,h2,1.9053333333333335,0.0,1213397.37,0.0,0.0
SGtechMicrogrid,2023-01-01 12:15:00,h2,1.9406666666666665,0.0,1213404.7,0.0,0.0
SGtechMicrogrid,2023-01-01 12:30:00,h2,1.894,0.0,1213411.98,0.0,0.0
SGtechMicrogrid,2023-01-01 12:45:00,h2,1.8173333333333335,0.0,1213418.84,0.0,0.0
SGtechMicrogrid,2023-01-01 13:00:00,h2,1.8593333333333333,0.0,1213425.78,0.0,0.0
SGtechMicrogrid,2023-01-01 13:15:00,h2,1.9726666666666666,0.0,1213433.11,0.0,0.0
SGtechMicrogrid,2023-01-01 13:30:00,h2,1.848,0.0,1213440.1,0.0,0.0
SGtechMicrogrid,2023-01-01 13:45:00,h2,1.9486666666666668,0.0,1213447.24,0.0,0.0
SGtechMicrogrid,2023-01-01 14:00:00,h2,1.866,0.0,1213454.45,0.0,0.0
SGtechMicrogrid,2023-01-01 14:15:00,h2,1.9173333333333333,0.0,1213461.56,0.0,0.0
SGtechMicrogrid,2023-01-01 14:30:00,h2,1.86,0.0,1213468.6,0.0,0.0
SGtechMicrogrid,2023-01-01 14:45:00,h2,1.8773333333333333,0.0,1213475.69,0.0,0.0
SGtechMicrogrid,2023-01-01 15:00:00,h2,1.8766666666666667,0.0,1213482.6400000001,0.0,0.0
SGtechMicrogrid,2023-01-01 15:15:00,h2,2.0526666666666666,0.0,1213490.08,0.0,0.0
SGtechMicrogrid,2023-01-01 15:30:00,h2,1.828,0.0,1213497.32,0.0,0.0
SGtechMicrogrid,2023-01-01 15:45:00,h2,1.86,0.0,1213504.15,0.0,0.0
SGtechMicrogrid,2023-01-01 16:00:00,h2,1.8846666666666667,0.0,1213511.2,0.0,0.0
SGtechMicrogrid,2023-01-01 16:15:00,h2,1.9200000000000002,0.0,1213518.31,0.0,0.0
SGtechMicrogrid,2023-01-01 16:30:00,h2,1.8419999999999999,0.0,1213525.28,0.0,0.0
SGtechMicrogrid,2023-01-01 16:45:00,h2,1.9526666666666666,0.0,1213532.46,0.0,0.0
