,project_id,timestamp,house_no,raw_p_h,raw_p_h_pv,raw_e_h_im,raw_e_h_ex,flag
8929,SGtechMicrogrid,2025-04-04 00:00:00,h2,0.7266666666666667,0.0,148074.38133333335,0.0,0.0
8930,SGtechMicrogrid,2025-04-04 00:15:00,h2,0.7099999999999999,0.0,148074.5606666667,0.0,0.0
8931,SGtechMicrogrid,2025-04-04 00:30:00,h2,0.7099999999999999,0.0,148074.73133333336,0.0,0.0
8932,SGtechMicrogrid,2025-04-04 00:45:00,h2,0.7486666666666667,0.0,148074.91133333332,0.0,0.0
8933,SGtechMicrogrid,2025-04-04 01:00:00,h2,0.7493333333333333,0.0,148075.11066666667,0.0,0.0
8934,SGtechMicrogrid,2025-04-04 01:15:00,h2,0.74,0.0,148075.29066666667,0.0,0.0
8935,SGtechMicrogrid,2025-04-04 01:30:00,h2,0.7433333333333334,0.0,148075.47333333333,0.0,0.0
8936,SGtechMicrogrid,2025-04-04 01:45:00,h2,0.7406666666666666,0.0,148075.66333333336,0.0,0.0
8937,SGtechMicrogrid,2025-04-04 02:00:00,h2,0.74,0.0,148075.85199999998,0.0,0.0
8938,SGtechMicrogrid,2025-04-04 02:15:00,h2,0.6739999999999999,0.0,148076.024,0.0,0.0
8939,SGtechMicrogrid,2025-04-04 02:30:00,h2,0.65,0.0,148076.18533333336,0.0,0.0
8940,SGtechMicrogrid,2025-04-04 02:45:00,h2,0.65,0.0,148076.356,0.0,0.0
8941,SGtechMicrogrid,2025-04-04 03:00:00,h2,0.65,0.0,148076.52066666668,0.0,0.0
8942,SGtechMicrogrid,2025-04-04 03:15:00,h2,0.65,0.0,148076.67666666667,0.0,0.0
8943,SGtechMicrogrid,2025-04-04 03:30:00,h2,0.65,0.0,148076.83733333333,0.0,0.0
8944,SGtechMicrogrid,2025-04-04 03:45:00,h2,0.65,0.0,148077.00400000002,0.0,0.0
8945,SGtechMicrogrid,2025-04-04 04:00:00,h2,0.65,0.0,148077.16999999998,0.0,0.0
8946,SGtechMicrogrid,2025-04-04 04:15:00,h2,0.6493333333333333,0.0,148077.32866666667,0.0,0.0
8947,SGtechMicrogrid,2025-04-04 04:30:00,h2,0.6493333333333333,0.0,148077.48466666666,0.0,0.0
