,project_id,timestamp,house_no,raw_p_h,raw_p_h_pv,raw_e_h_im,raw_e_h_ex,flag
384,SGtechMicrogrid,2024-01-05 00:00:00,h2,0.7933333333333333,0.0,1795566.77,0.0,0.0
385,SGtechMicrogrid,2024-01-05 00:15:00,h2,0.7306666666666666,0.0,1795569.63,0.0,0.0
386,SGtechMicrogrid,2024-01-05 00:30:00,h2,0.7706666666666667,0.0,1795572.46,0.0,0.0
387,SGtechMicrogrid,2024-01-05 00:45:00,h2,0.6606666666666666,0.0,1795575.14,0.0,0.0
388,SGtechMicrogrid,2024-01-05 01:00:00,h2,0.6766666666666666,0.0,1795577.61,0.0,0.0
389,SGtechMicrogrid,2024-01-05 01:15:00,h2,0.6966666666666667,0.0,1795580.24,0.0,0.0
390,SGtechMicrogrid,2024-01-05 01:30:00,h2,0.646,0.0,1795582.75,0.0,0.0
391,SGtechMicrogrid,2024-01-05 01:45:00,h2,0.7073333333333333,0.0,1795585.27,0.0,0.0
392,SGtechMicrogrid,2024-01-05 02:00:00,h2,0.6686666666666666,0.0,1795587.87,0.0,0.0
393,SGtechMicrogrid,2024-01-05 02:15:00,h2,0.67,0.0,1795590.31,0.0,0.0
394,SGtechMicrogrid,2024-01-05 02:30:00,h2,0.698,0.0,1795592.98,0.0,0.0
395,SGtechMicrogrid,2024-01-05 02:45:00,h2,0.6486666666666667,0.0,1795595.46,0.0,0.0
396,SGtechMicrogrid,2024-01-05 03:00:00,h2,0.712,0.0,1795598.02,0.0,0.0
397,SGtechMicrogrid,2024-01-05 03:15:00,h2,0.6746666666666667,0.0,1795600.63,0.0,0.0
398,SGtechMicrogrid,2024-01-05 03:30:00,h2,0.6713333333333333,0.0,1795603.12,0.0,0.0
399,SGtechMicrogrid,2024-01-05 03:45:00,h2,0.7093333333333334,0.0,1795605.74,0.0,0.0
400,SGtechMicrogrid,2024-01-05 04:00:00,h2,0.648,0.0,1795608.3,0.0,0.0
401,SGtechMicrogrid,2024-01-05 04:15:00,h2,0.6993333333333334,0.0,1795610.76,0.0,0.0
402,SGtechMicrogrid,2024-01-05 04:30:00,h2,0.6633333333333333,0.0,1795613.4,0.0,0.0
403,SGtechMicrogrid,2024-01-05 04:45:00,h2,0.6606666666666666,0.0,1795615.82,0.0,0.0
404,SGtechMicrogrid,2024-01-05 05:00:00,h2,0.7006666666666667,0.0,1795618.43,0.0,0.0
405,SGtechMicrogrid,2024-01-05 05:15:00,h2,0.6746666666666666,0.0,1795620.92,0.0,0.0
406,SGtechMicrogrid,2024-01-05 05:30:00,h2,0.776,0.0,1795623.69,0.0,0.0
407,SGtechMicrogrid,2024-01-05 05:45:00,h2,0.6920000000000001,0.0,1795626.52,0.0,0.0
408,SGtechMicrogrid,2024-01-05 06:00:00,h2,0.5393333333333333,0.0,1795628.74,0.0,0.0
409,SGtechMicrogrid,2024-01-05 06:15:00,h2,0.608,0.0,1795630.9,0.0,0.0
410,SGtechMicrogrid,2024-01-05 06:30:00,h2,0.548,0.0,1795633.09,0.0,0.0
411,SGtechMicrogrid,2024-01-05 06:45:00,h2,0.5106666666666667,0.0,1795635.02,0.0,0.0
