project_id,timestamp,house_no,raw_p_h,raw_p_h_pv,raw_e_h_im,raw_e_h_ex,flag
SGtechMicrogrid,2025-04-01 00:00:00,h2,0.7,0.0,147787.50133333335,0.0,0.0
SGtechMicrogrid,2025-04-01 00:15:00,h2,0.7,0.0,147787.682,0.0,0.0
SGtechMicrogrid,2025-04-01 00:30:00,h2,0.7,0.0,147787.86,0.0,0.0
SGtechMicrogrid,2025-04-01 00:45:00,h2,0.7466666666666666,0.0,147788.03733333334,0.0,0.0
SGtechMicrogrid,2025-04-01 01:00:00,h2,0.75,0.0,147788.22066666666,0.0,0.0
SGtechMicrogrid,2025-04-01 01:15:00,h2,0.7433333333333334,0.0,147788.41733333335,0.0,0.0
SGtechMicrogrid,2025-04-01 01:30:00,h2,0.73,0.0,147788.59733333334,0.0,0.0
SGtechMicrogrid,2025-04-01 01:45:00,h2,0.73,0.0,147788.77466666666,0.0,0.0
SGtechMicrogrid,2025-04-01 02:00:00,h2,0.73,0.0,147788.95933333333,0.0,0.0
SGtechMicrogrid,2025-04-01 02:15:00,h2,0.658,0.0,147789.14133333333,0.0,0.0
SGtechMicrogrid,2025-04-01 02:30:00,h2,0.64,0.0,147789.2966666667,0.0,0.0
SGtechMicrogrid,2025-04-01 02:45:00,h2,0.64,0.0,147789.454,0.0,0.0
SGtechMicrogrid,2025-04-01 03:00:00,h2,0.64,0.0,147789.61200000002,0.0,0.0
SGtechMicrogrid,2025-04-01 03:15:00,h2,0.64,0.0,147789.78133333332,0.0,0.0
SGtechMicrogrid,2025-04-01 03:30:00,h2,0.64,0.0,147789.93733333334,0.0,0.0
SGtechMicrogrid,2025-04-01 03:45:00,h2,0.6406666666666666,0.0,147790.09466666667,0.0,0.0
SGtechMicrogrid,2025-04-01 04:00:00,h2,0.64,0.0,147790.25133333335,0.0,0.0
SGtechMicrogrid,2025-04-01 04:15:00,h2,0.64,0.0,147790.4246666667,0.0,0.0
SGtechMicrogrid,2025-04-01 04:30:00,h2,0.624,0.0,147790.58466666666,0.0,0.0
SGtechMicrogrid,2025-04-01 04:45:00,h2,0.6,0.0,147790.72933333332,0.0,0.0
SGtechMicrogrid,2025-04-01 05:00:00,h2,0.6,0.0,147790.87600000002,0.0,0.0
SGtechMicrogrid,2025-04-01 05:15:00,h2,0.4393333333333333,0.0,147791.024,0.0,0.0
SGtechMicrogrid,2025-04-01 05:30:00,h2,0.298,0.0,147791.10866666667,0.0,0.0
SGtechMicrogrid,2025-04-01 05:45:00,h2,0.30066666666666664,0.0,147791.18000000002,0.0,0.0
SGtechMicrogrid,2025-04-01 06:00:00,h2,0.36,0.0,147791.26133333333,0.0,0.0
SGtechMicrogrid,2025-04-01 06:15:00,h2,0.36,0.0,147791.34866666666,0.0,0.0
SGtechMicrogrid,2025-04-01 06:30:00,h2,0.30533333333333335,0.0,147791.43000000002,0.0,0.0
SGtechMicrogrid,2025-04-01 06:45:00,h2,0.30333333333333334,0.0,147791.50533333333,0.0,0.0
SGtechMicrogrid,2025-04-01 07:00:00,h2,0.3013333333333333,0.0,147791.578,0.0,0.0
SGtechMicrogrid,2025-04-01 07:15:00,h2,0.29866666666666664,0.0,147791.662,0.0,0.0
SGtechMicrogrid,2025-04-01 07:30:00,h2,0.304,0.0,147791.74466666667,0.0,0.0
SGtechMicrogrid,2025-04-01 07:45:00,h2,6.758666666666667,0.0,147792.53399999999,0.0,0.0
SGtechMicrogrid,2025-04-01 08:00:00,h2,6.129333333333333,0.0,147794.32666666666,0.0,0.0
SGtechMicrogrid,2025-04-01 08:15:00,h2,5.638,0.0,147795.718,0.0,0.0
SGtechMicrogrid,2025-04-01 08:30:00,h2,7.450666666666667,0.0,147797.27533333332,0.0,0.0
SGtechMicrogrid,2025-04-01 08:45:00,h2,8.467333333333334,0.0,147799.4,0.0,0.0
SGtechMicrogrid,2025-04-01 09:00:00,h2,7.228666666666667,0.0,147801.28533333333,0.0,0.0
SGtechMicrogrid,2025-04-01 09:15:00,h2,7.116,0.0,147803.12733333334,0.0,0.0
SGtechMicrogrid,2025-04-01 09:30:00,h2,7.3966666666666665,0.0,147805.03333333333,0.0,0.0
SGtechMicrogrid,2025-04-01 09:45:00,h2,8.132,0.0,147806.86733333336,0.0,0.0
SGtechMicrogrid,2025-04-01 10:00:00,h2,7.029333333333333,0.0,147808.79466666665,0.0,0.0
SGtechMicrogrid,2025-04-01 10:15:00,h2,6.656000000000001,0.0,147810.53266666664,0.0,0.0
SGtechMicrogrid,2025-04-01 10:30:00,h2,7.801333333333333,0.0,147812.35866666667,0.0,0.0
