PROJECT_ID,timestamp,house_no,RAW_P_H,RAW_P_H_PV,RAW_E_H_IM,RAW_E_H_EX,FLAG,date_only
SGtechMicrogrid,2025-04-02 00:00:00.390,h2,0.71,0.0,147878.91,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:01:00.463,h2,0.71,0.0,147878.91,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:02:00.477,h2,0.71,0.0,147878.92,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:03:00.520,h2,0.71,0.0,147878.94,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:04:00.567,h2,0.71,0.0,147878.95,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:05:00.610,h2,0.71,0.0,147878.95,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:06:00.620,h2,0.71,0.0,147878.97,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:07:00.647,h2,0.71,0.0,147878.98,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:08:00.690,h2,0.71,0.0,147879.02,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:09:00.723,h2,0.71,0.0,147879.02,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:10:00.760,h2,0.71,0.0,147879.03,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:11:00.800,h2,0.71,0.0,147879.05,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:12:00.837,h2,0.71,0.0,147879.06,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:13:00.867,h2,0.71,0.0,147879.06,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:14:00.873,h2,0.71,0.0,147879.08,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:15:00.920,h2,0.71,0.0,147879.09,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:16:00.957,h2,0.71,0.0,147879.11,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:17:01.027,h2,0.71,0.0,147879.11,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:18:00.040,h2,0.71,0.0,147879.13,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:19:00.093,h2,0.71,0.0,147879.14,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:20:00.120,h2,0.71,0.0,147879.16,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:21:00.157,h2,0.71,0.0,147879.16,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:22:00.183,h2,0.71,0.0,147879.17,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:23:00.253,h2,0.76,0.0,147879.19,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:24:00.300,h2,0.76,0.0,147879.2,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:25:00.310,h2,0.76,0.0,147879.2,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:26:00.377,h2,0.76,0.0,147879.22,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:27:00.403,h2,0.76,0.0,147879.23,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:28:00.427,h2,0.76,0.0,147879.25,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:29:00.500,h2,0.76,0.0,147879.27,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:30:00.500,h2,0.76,0.0,147879.27,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:31:00.557,h2,0.76,0.0,147879.28,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:32:00.577,h2,0.76,0.0,147879.3,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:33:00.637,h2,0.76,0.0,147879.31,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:34:00.673,h2,0.76,0.0,147879.31,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:35:00.717,h2,0.76,0.0,147879.33,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:36:00.770,h2,0.76,0.0,147879.34,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:37:00.780,h2,0.76,0.0,147879.36,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:38:00.827,h2,0.76,0.0,147879.38,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:39:00.900,h2,0.76,0.0,147879.38,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:40:00.917,h2,0.76,0.0,147879.39,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:41:00.940,h2,0.76,0.0,147879.41,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:42:00.977,h2,0.76,0.0,147879.42,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:43:01.000,h2,0.76,0.0,147879.44,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:44:00.043,h2,0.76,0.0,147879.44,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:45:00.070,h2,0.76,0.0,147879.45,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:46:00.140,h2,0.76,0.0,147879.47,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:47:00.187,h2,0.76,0.0,147879.48,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:48:00.200,h2,0.76,0.0,147879.5,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:49:00.227,h2,0.76,0.0,147879.5,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:50:00.300,h2,0.76,0.0,147879.52,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:51:00.340,h2,0.76,0.0,147879.53,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:52:00.357,h2,0.76,0.0,147879.55,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:53:00.427,h2,0.76,0.0,147879.55,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:54:00.437,h2,0.76,0.0,147879.56,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:55:00.490,h2,0.76,0.0,147879.58,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:56:00.507,h2,0.76,0.0,147879.59,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:57:00.543,h2,0.76,0.0,147879.61,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:58:00.587,h2,0.76,0.0,147879.61,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 00:59:00.613,h2,0.76,0.0,147879.63,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 01:00:00.663,h2,0.76,0.0,147879.64,0.0,0,2025-04-02
SGtechMicrogrid,2025-04-02 01:01:00.693,h2,0.76,0.0,147879.66,0.0,0,2025-04-02
