project_id,timestamp,house_no,raw_p_h,raw_p_h_pv,raw_e_h_im,raw_e_h_ex,flag
SGtechMicrogrid,2025-02-28 23:45:00,h2,7.540000000000001,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 00:00:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 00:15:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 00:30:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 00:45:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 01:00:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 01:15:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 01:30:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 01:45:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 02:00:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 02:15:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 02:30:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 02:45:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 03:00:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 03:15:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 03:30:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 03:45:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 04:00:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 04:15:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 04:30:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 04:45:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 05:00:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 05:15:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 05:30:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 05:45:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 06:00:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 06:15:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 06:30:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 06:45:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 07:00:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 07:15:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 07:30:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 07:45:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 08:00:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 08:15:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 08:30:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 08:45:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 09:00:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 09:15:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 09:30:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 09:45:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 10:00:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 10:15:00,h2,7.54,0.0,145724.66,0.0,0.0
SGtechMicrogrid,2025-03-01 10:30:00,h2,2.746666666666667,0.0,145732.732,0.0,0.0
SGtechMicrogrid,2025-03-01 10:45:00,h2,0.3506666666666666,0.0,145736.84133333334,0.0,0.0
SGtechMicrogrid,2025-03-01 11:00:00,h2,0.35,0.0,145736.926,0.0,0.0
SGtechMicrogrid,2025-03-01 11:15:00,h2,0.36,0.0,145737.024,0.0,0.0
SGtechMicrogrid,2025-03-01 11:30:00,h2,0.4033333333333333,0.0,145737.12399999998,0.0,0.0
SGtechMicrogrid,2025-03-01 11:45:00,h2,0.3906666666666666,0.0,145737.22,0.0,0.0
SGtechMicrogrid,2025-03-01 12:00:00,h2,0.4106666666666667,0.0,145737.3173333333,0.0,0.0
SGtechMicrogrid,2025-03-01 12:15:00,h2,0.4133333333333333,0.0,145737.42066666667,0.0,0.0
SGtechMicrogrid,2025-03-01 12:30:00,h2,0.4093333333333333,0.0,145737.51866666664,0.0,0.0
SGtechMicrogrid,2025-03-01 12:45:00,h2,0.4093333333333333,0.0,145737.622,0.0,0.0
SGtechMicrogrid,2025-03-01 13:00:00,h2,0.3733333333333333,0.0,145737.732,0.0,0.0
SGtechMicrogrid,2025-03-01 13:15:00,h2,0.384,0.0,145737.82200000001,0.0,0.0
SGtechMicrogrid,2025-03-01 13:30:00,h2,0.4,0.0,145737.92,0.0,0.0
SGtechMicrogrid,2025-03-01 13:45:00,h2,0.4,0.0,145738.01666666666,0.0,0.0
SGtechMicrogrid,2025-03-01 14:00:00,h2,0.4,0.0,145738.11533333332,0.0,0.0
SGtechMicrogrid,2025-03-01 14:15:00,h2,0.4006666666666667,0.0,145738.214,0.0,0.0
SGtechMicrogrid,2025-03-01 14:30:00,h2,0.4006666666666667,0.0,145738.31933333335,0.0,0.0
SGtechMicrogrid,2025-03-01 14:45:00,h2,0.4,0.0,145738.426,0.0,0.0
SGtechMicrogrid,2025-03-01 15:00:00,h2,0.4006666666666667,0.0,145738.526,0.0,0.0
SGtechMicrogrid,2025-03-01 15:15:00,h2,0.35,0.0,145738.61866666665,0.0,0.0
SGtechMicrogrid,2025-03-01 15:30:00,h2,0.35,0.0,145738.70266666668,0.0,0.0
SGtechMicrogrid,2025-03-01 15:45:00,h2,0.37133333333333335,0.0,145738.792,0.0,0.0
SGtechMicrogrid,2025-03-01 16:00:00,h2,0.4006666666666667,0.0,145738.88866666667,0.0,0.0
SGtechMicrogrid,2025-03-01 16:15:00,h2,0.364,0.0,145738.98933333333,0.0,0.0
SGtechMicrogrid,2025-03-01 16:30:00,h2,0.35,0.0,145739.086,0.0,0.0
SGtechMicrogrid,2025-03-01 16:45:00,h2,0.35,0.0,145739.17,0.0,0.0
SGtechMicrogrid,2025-03-01 17:00:00,h2,0.35,0.0,145739.25666666668,0.0,0.0
SGtechMicrogrid,2025-03-01 17:15:00,h2,0.35666666666666663,0.0,145739.34266666666,0.0,0.0
SGtechMicrogrid,2025-03-01 17:30:00,h2,0.39666666666666667,0.0,145739.43533333336,0.0,0.0
