project_id,timestamp,house_no,raw_p_h,raw_p_h_pv,raw_e_h_im,raw_e_h_ex,flag
SGTechMicrogrid,2025-01-02 00:00:00+00:00,h2,1.11,0.0,1361861.39,0.0,False
SGTechMicrogrid,2025-01-02 00:15:00+00:00,h2,1.11,0.0,1361865.02,0.0,False
SGTechMicrogrid,2025-01-02 00:30:00+00:00,h2,1.12,0.0,1361868.68,0.0,False
SGTechMicrogrid,2025-01-02 00:45:00+00:00,h2,1.11,0.0,1361872.33,0.0,False
SGTechMicrogrid,2025-01-02 01:00:00+00:00,h2,1.09,0.0,1361875.94,0.0,False
SGTechMicrogrid,2025-01-02 01:15:00+00:00,h2,1.08,0.0,1361879.5,0.0,False
SGTechMicrogrid,2025-01-02 01:30:00+00:00,h2,1.09,0.0,1361883.04,0.0,False
SGTechMicrogrid,2025-01-02 01:45:00+00:00,h2,1.08,0.0,1361886.59,0.0,False
SGTechMicrogrid,2025-01-02 02:00:00+00:00,h2,1.07,0.0,1361890.1,0.0,False
SGTechMicrogrid,2025-01-02 02:15:00+00:00,h2,1.06,0.0,1361893.59,0.0,False
SGTechMicrogrid,2025-01-02 02:30:00+00:00,h2,1.06,0.0,1361897.06,0.0,False
SGTechMicrogrid,2025-01-02 02:45:00+00:00,h2,1.06,0.0,1361900.53,0.0,False
SGTechMicrogrid,2025-01-02 03:00:00+00:00,h2,1.05,0.0,1361903.98,0.0,False
SGTechMicrogrid,2025-01-02 03:15:00+00:00,h2,1.05,0.0,1361907.42,0.0,False
SGTechMicrogrid,2025-01-02 03:30:00+00:00,h2,1.04,0.0,1361910.85,0.0,False
SGTechMicrogrid,2025-01-02 03:45:00+00:00,h2,1.04,0.0,1361914.26,0.0,False
SGTechMicrogrid,2025-01-02 04:00:00+00:00,h2,1.04,0.0,1361917.66,0.0,False
SGTechMicrogrid,2025-01-02 04:15:00+00:00,h2,1.04,0.0,1361921.07,0.0,False
SGTechMicrogrid,2025-01-02 04:30:00+00:00,h2,1.04,0.0,1361924.48,0.0,False
SGTechMicrogrid,2025-01-02 04:45:00+00:00,h2,1.0,0.0,1361927.84,0.0,False
SGTechMicrogrid,2025-01-02 05:00:00+00:00,h2,0.98,0.0,1361931.09,0.0,False
SGTechMicrogrid,2025-01-02 05:15:00+00:00,h2,0.96,0.0,1361934.28,0.0,False
SGTechMicrogrid,2025-01-02 05:30:00+00:00,h2,0.88,0.0,1361937.3,0.0,False
SGTechMicrogrid,2025-01-02 05:45:00+00:00,h2,0.79,0.0,1361940.02,0.0,False
SGTechMicrogrid,2025-01-02 06:00:00+00:00,h2,0.76,0.0,1361942.56,0.0,False
SGTechMicrogrid,2025-01-02 06:15:00+00:00,h2,0.76,0.0,1361945.03,0.0,False
SGTechMicrogrid,2025-01-02 06:30:00+00:00,h2,0.75,0.0,1361947.47,0.0,False
SGTechMicrogrid,2025-01-02 06:45:00+00:00,h2,0.74,0.0,1361949.9,0.0,False
SGTechMicrogrid,2025-01-02 07:00:00+00:00,h2,0.8,0.0,1361952.36,0.0,False
SGTechMicrogrid,2025-01-02 07:15:00+00:00,h2,1.49,0.0,1361955.6,0.0,False
SGTechMicrogrid,2025-01-02 07:30:00+00:00,h2,4.09,0.0,1361964.83,0.0,False
SGTechMicrogrid,2025-01-02 07:45:00+00:00,h2,4.47,0.0,1361979.51,0.0,False
SGTechMicrogrid,2025-01-02 08:00:00+00:00,h2,4.56,0.0,1361994.38,0.0,False
SGTechMicrogrid,2025-01-02 08:15:00+00:00,h2,4.95,0.0,1362010.04,0.0,False
SGTechMicrogrid,2025-01-02 08:30:00+00:00,h2,5.3,0.0,1362026.94,0.0,False
SGTechMicrogrid,2025-01-02 08:45:00+00:00,h2,5.83,0.0,1362045.23,0.0,False
SGTechMicrogrid,2025-01-02 09:00:00+00:00,h2,6.58,0.0,1360448.92,0.0,False
