,project_id,timestamp,house_no,raw_p_h,raw_p_h_pv,raw_e_h_im,raw_e_h_ex,flag
96,SGtechMicrogrid,2024-01-02 00:00:00,h2,0.7993333333333333,0.0,1791987.83,0.0,0.0
97,SGtechMicrogrid,2024-01-02 00:15:00,h2,0.874,0.0,1791991.04,0.0,0.0
98,SGtechMicrogrid,2024-01-02 00:30:00,h2,0.8153333333333334,0.0,1791994.24,0.0,0.0
99,SGtechMicrogrid,2024-01-02 00:45:00,h2,0.8733333333333333,0.0,1791997.36,0.0,0.0
100,SGtechMicrogrid,2024-01-02 01:00:00,h2,0.8333333333333334,0.0,1792000.59,0.0,0.0
101,SGtechMicrogrid,2024-01-02 01:15:00,h2,0.8393333333333334,0.0,1792003.68,0.0,0.0
102,SGtechMicrogrid,2024-01-02 01:30:00,h2,0.868,0.0,1792006.93,0.0,0.0
103,SGtechMicrogrid,2024-01-02 01:45:00,h2,0.81,0.0,1792010.06,0.0,0.0
104,SGtechMicrogrid,2024-01-02 02:00:00,h2,0.87,0.0,1792013.21,0.0,0.0
105,SGtechMicrogrid,2024-01-02 02:15:00,h2,0.8106666666666666,0.0,1792016.38,0.0,0.0
106,SGtechMicrogrid,2024-01-02 02:30:00,h2,0.798,0.0,1792019.36,0.0,0.0
107,SGtechMicrogrid,2024-01-02 02:45:00,h2,0.8260000000000001,0.0,1792022.45,0.0,0.0
108,SGtechMicrogrid,2024-01-02 03:00:00,h2,0.7726666666666666,0.0,1792025.42,0.0,0.0
109,SGtechMicrogrid,2024-01-02 03:15:00,h2,0.84,0.0,1792028.45,0.0,0.0
110,SGtechMicrogrid,2024-01-02 03:30:00,h2,0.7733333333333333,0.0,1792031.52,0.0,0.0
111,SGtechMicrogrid,2024-01-02 03:45:00,h2,0.7113333333333334,0.0,1792034.24,0.0,0.0
112,SGtechMicrogrid,2024-01-02 04:00:00,h2,0.7453333333333333,0.0,1792036.98,0.0,0.0
113,SGtechMicrogrid,2024-01-02 04:15:00,h2,0.6893333333333334,0.0,1792039.68,0.0,0.0
114,SGtechMicrogrid,2024-01-02 04:30:00,h2,0.74,0.0,1792042.32,0.0,0.0
115,SGtechMicrogrid,2024-01-02 04:45:00,h2,0.7033333333333334,0.0,1792045.08,0.0,0.0
116,SGtechMicrogrid,2024-01-02 05:00:00,h2,0.6980000000000001,0.0,1792047.64,0.0,0.0
117,SGtechMicrogrid,2024-01-02 05:15:00,h2,0.74,0.0,1792050.38,0.0,0.0
118,SGtechMicrogrid,2024-01-02 05:30:00,h2,0.6833333333333333,0.0,1792053.05,0.0,0.0
119,SGtechMicrogrid,2024-01-02 05:45:00,h2,0.738,0.0,1792055.67,0.0,0.0
120,SGtechMicrogrid,2024-01-02 06:00:00,h2,0.712,0.0,1792058.49,0.0,0.0
121,SGtechMicrogrid,2024-01-02 06:15:00,h2,0.66,0.0,1792060.96,0.0,0.0
122,SGtechMicrogrid,2024-01-02 06:30:00,h2,0.7153333333333334,0.0,1792063.6,0.0,0.0
123,SGtechMicrogrid,2024-01-02 06:45:00,h2,0.468,0.0,1792065.83,0.0,0.0
124,SGtechMicrogrid,2024-01-02 07:00:00,h2,0.48,0.0,1792067.54,0.0,0.0
125,SGtechMicrogrid,2024-01-02 07:15:00,h2,0.4506666666666666,0.0,1792069.35,0.0,0.0
126,SGtechMicrogrid,2024-01-02 07:30:00,h2,0.4113333333333333,0.0,1792070.87,0.0,0.0
127,SGtechMicrogrid,2024-01-02 07:45:00,h2,0.4613333333333333,0.0,1792072.56,0.0,0.0
128,SGtechMicrogrid,2024-01-02 08:00:00,h2,7.156000000000001,0.0,1792084.53,0.0,0.0
129,SGtechMicrogrid,2024-01-02 08:15:00,h2,2.049333333333333,0.0,1792103.64,0.0,0.0
130,SGtechMicrogrid,2024-01-02 08:30:00,h2,3.329333333333333,0.0,1792112.93,0.0,0.0
131,SGtechMicrogrid,2024-01-02 08:45:00,h2,3.6,0.0,1792126.25,0.0,0.0
132,SGtechMicrogrid,2024-01-02 09:00:00,h2,4.366666666666666,0.0,1792140.24,0.0,0.0
133,SGtechMicrogrid,2024-01-02 09:15:00,h2,4.953333333333333,0.0,1792159.19,0.0,0.0
134,SGtechMicrogrid,2024-01-02 09:30:00,h2,8.493333333333334,0.0,1792184.76,0.0,0.0
