,project_id,timestamp,house_no,raw_p_h,raw_p_h_pv,raw_e_h_im,raw_e_h_ex,flag
768,SGtechMicrogrid,2024-01-09 00:00:00,h2,0.7826666666666667,0.0,1798252.24,0.0,0.0
769,SGtechMicrogrid,2024-01-09 00:15:00,h2,0.8466666666666666,0.0,1798255.3,0.0,0.0
770,SGtechMicrogrid,2024-01-09 00:30:00,h2,0.8093333333333333,0.0,1798258.45,0.0,0.0
771,SGtechMicrogrid,2024-01-09 00:45:00,h2,0.8213333333333334,0.0,1798261.45,0.0,0.0
772,SGtechMicrogrid,2024-01-09 01:00:00,h2,0.8426666666666667,0.0,1798264.66,0.0,0.0
773,SGtechMicrogrid,2024-01-09 01:15:00,h2,0.7793333333333334,0.0,1798267.64,0.0,0.0
774,SGtechMicrogrid,2024-01-09 01:30:00,h2,0.836,0.0,1798270.67,0.0,0.0
775,SGtechMicrogrid,2024-01-09 01:45:00,h2,0.7933333333333333,0.0,1798273.78,0.0,0.0
776,SGtechMicrogrid,2024-01-09 02:00:00,h2,0.7733333333333333,0.0,1798276.64,0.0,0.0
777,SGtechMicrogrid,2024-01-09 02:15:00,h2,0.7386666666666667,0.0,1798279.58,0.0,0.0
778,SGtechMicrogrid,2024-01-09 02:30:00,h2,0.6306666666666667,0.0,1798282.09,0.0,0.0
779,SGtechMicrogrid,2024-01-09 02:45:00,h2,0.6933333333333332,0.0,1798284.57,0.0,0.0
780,SGtechMicrogrid,2024-01-09 03:00:00,h2,0.6579999999999999,0.0,1798287.14,0.0,0.0
781,SGtechMicrogrid,2024-01-09 03:15:00,h2,0.656,0.0,1798289.56,0.0,0.0
782,SGtechMicrogrid,2024-01-09 03:30:00,h2,0.69,0.0,1798292.11,0.0,0.0
783,SGtechMicrogrid,2024-01-09 03:45:00,h2,0.63,0.0,1798294.61,0.0,0.0
784,SGtechMicrogrid,2024-01-09 04:00:00,h2,0.6873333333333332,0.0,1798297.05,0.0,0.0
785,SGtechMicrogrid,2024-01-09 04:15:00,h2,0.6579999999999999,0.0,1798299.64,0.0,0.0
786,SGtechMicrogrid,2024-01-09 04:30:00,h2,0.6493333333333333,0.0,1798301.97,0.0,0.0
787,SGtechMicrogrid,2024-01-09 04:45:00,h2,0.6933333333333332,0.0,1798304.57,0.0,0.0
788,SGtechMicrogrid,2024-01-09 05:00:00,h2,0.6386666666666667,0.0,1798307.03,0.0,0.0
789,SGtechMicrogrid,2024-01-09 05:15:00,h2,0.6926666666666665,0.0,1798309.54,0.0,0.0
790,SGtechMicrogrid,2024-01-09 05:30:00,h2,0.6726666666666666,0.0,1798312.11,0.0,0.0
791,SGtechMicrogrid,2024-01-09 05:45:00,h2,0.4786666666666666,0.0,1798314.32,0.0,0.0
792,SGtechMicrogrid,2024-01-09 06:00:00,h2,0.5153333333333333,0.0,1798316.1,0.0,0.0
793,SGtechMicrogrid,2024-01-09 06:15:00,h2,0.45,0.0,1798317.97,0.0,0.0
794,SGtechMicrogrid,2024-01-09 06:30:00,h2,0.4946666666666666,0.0,1798319.7,0.0,0.0
795,SGtechMicrogrid,2024-01-09 06:45:00,h2,0.4793333333333333,0.0,1798321.53,0.0,0.0
796,SGtechMicrogrid,2024-01-09 07:00:00,h2,0.476,0.0,1798323.38,0.0,0.0
797,SGtechMicrogrid,2024-01-09 07:15:00,h2,0.49,0.0,1798325.16,0.0,0.0
798,SGtechMicrogrid,2024-01-09 07:30:00,h2,0.42,0.0,1798326.87,0.0,0.0
